PowerhouseNZRecordBreakers2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-S-e-s-s-i-on-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiftersName,Team,Div,"Bwt(kg)","WtCls(kg)",SQ-1,SQ-2,SQ-3,"BestSQ",BP-1,BP-2,BP-3,"SubTotal",DL-1,DL-2,DL-3,"PLTotal","WilksPts","Pl-Div-WtCls-Evt",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SerenaPerry,WBOP,F-M1,71,72,,127.5,,,137.5,,,145,,,145,,,90,,,-9-5-.-5,,,95.5,,,240.5,,,132.5,,,145,,,152.5,,,393,,,387.184,,1-F-M1-72-PL,,
TashWilliams,CD,F-O,74.3,84,,130,,,140,,,142.5,,,142.5,,,80,,,8-5,,,-8-5,,,222.5,,,185,,,,,,,,,407.5,,,389.692,,1-F-O-84-PL,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnStrachan,ACK,M-O,73.8,74,,232.5,,,242.5,,,250,,,250,,,1-6-0,,,,1,0,,,165,,,415,,,227.5,,,-2-3-5,,,2-3-5,,,642.5,,,463.050,,1-M-O-74-PL
LeightonBest,CPA,M-O,94.3,105,,100,,,180,,,-2-0-0,,,180,,,235,,,,,,,,,415,,,180,,,220,,,,,,635,,,396.304,,1-M-O-105-PL,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StevenVarga,O,M-O,108.1,120,,310,,,,,,,,,310,,,2-0-0,,,-2-0-0,,,200,,,510,,,280,,,-2-9-0,,,2-9-0,,,790,,,467.443,,1-M-O-120-PL,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReubenSimanu,WBOP,M-O,159.7,120+,,340,,,360,,,-3-8-0,,,360,,,255,,,265,,,,,,625,,,265,,,285,,,3-0-5,,,910,,,499.044,,1-M-O-120+-PL,,
DanielNemani,ACK,M-O,144.1,120+,,290,,,310,,,320,,,320,,,170,,,180,,,185,,,505,,,270,,,285,,,2-9-5,,,790,,,439.635,,2-M-O-120+-PL,,
BrettGibbs,CD,M-Jr,82.2,83,,300,,,3-1-0,,,317.5,,,317.5,,,2-1-0,,,-2-1-0,,,2-1-0,,,0,,,260,,,-2-8-0,,,2-8-0,,,0,,0.000,,,,,
SamMathews,CD,M-Jr,87,93,,240,,,260,,,-2-8-1,,,260,,,1-5-0,,,-1-5-0,,,1-5-3,,,0,,,230,,,-2-4-0,,,,,,0,,0.000,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RobertQuigleyMcBride",CD,M-Jr,96.7,105,,,,,,,,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,230,,,2-4-0,,,-2-4-0,,,230,,,,,,-1-7-5,,,,,,0,,,210,,,-2-2-0,,,2-2-0,,,0,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoelHintz,CD,M-SJ,102.5,105,,220,,,2-4-0,,,-2-4-0,,,220,,,130,,,145,,,1-6-0,,,365,,,200,,,230,,,2-4-0,,,595,,,358.666,,1-M-SJ-105-PL,,
Referees,BestOpenMale,ReubenSimanu,,NZRecords,,,
CliveMadgeCategory11,,estOpenFemale,,,TashaWilliams,,"SerenaPerryM1Women72kgsBP95.5kgs,Total393kgs"
CraigEbbornNational,,estMasterFemale,,,SerenaPerry,,TashaWilliamsOpenWomen84kgsDL185kgs
CraigMcMillanNational,,estSubJuniorMale,,,JoelHintz,,J ohnSt rachanOpenMen7  4kgsSQ250k  gsBP165kgsTotal642.5kgs
"",,,LeightonBestOpenMen105kgsBP235kg,,,,
NickToulisRegional,,,JoelHintzSubJnrMen105kgsBP145kg,,,,
